# Self-published geofeed as defined in datatracker.ietf.org/doc/html/rfc8805
# TurtleBit  Geofeed,lastupdated (rfc3339): 2024-10-28T11:13:46.247663
2a0e:f43:1a::/48,FR,FR-75C,Paris,
2a0e:f43:10::/48,DE,DE-HE,Frankfurt,
2a0e:f43:11::/48,NL,NL-NH,Amsterdam,
2a0e:f43:17::/48,PT,PT-13,Porto,
2001:678:ac4::/48,FR,FR-75C,Paris,
